Year,Team,NAME ,No.,Pos,Ht,Wt,Age,Exp,College,FirstName,LastName,Ft,In,Inches,,,,,
2010,New Orleans,Charles Grant ,94,DE , 6-3 ,285,31,8,Georgia,Charles,Grant ,6,3 ,75,,,,,
2010,Arizona,Justin Green ,33,RB , 5-11 ,251,27,4,Montana,Justin,Green ,5,11 ,71,,,,,
2010,New Orleans,Jabari Greer ,32,CB , 5-11 ,180,27,6,Tennessee,Jabari,Greer ,5,11 ,71,,,,,
2010,Arizona,Clark Haggans ,53,LB , 6-4 ,243,33,10,Colorado State,Clark,Haggans ,6,4 ,76,,,,,
2010,New Orleans,Lynell Hamilton ,30,RB , 6-0 ,235,24,1,San Diego State,Lynell,Hamilton ,6,0 ,72,,,,,
2010,New Orleans,Anthony Hargrove ,69,DE , 6-3 ,272,26,5,Georgia Tech,Anthony,Hargrove ,6,3 ,75,,,,,
2010,New Orleans,Rod Harper ,13,WR , 6-0 ,209,24,1,Murray State,Rod,Harper ,6,0 ,72,,,,,
2010,New Orleans,Roman Harper ,41,S , 6-1 ,200,27,4,Alabama,Roman,Harper ,6,1 ,73,,,,,
2010,New Orleans,Garrett Hartley ,5,PK , 5-8 ,196,23,2,Oklahoma,Garrett,Hartley ,5,8 ,68,,,,,
2010,Arizona,Gerald Hayes ,54,LB , 6-1 ,246,29,7,Pittsburgh,Gerald,Hayes ,6,1 ,73,,,,,
2010,New Orleans,Devery Henderson ,19,WR , 5-11 ,200,27,6,Louisiana State,Devery,Henderson ,5,11 ,71,,,,,
2010,Arizona,Tim Hightower ,34,RB , 6-0 ,222,23,2,Richmond,Tim,Hightower ,6,0 ,72,,,,,
2010,New Orleans,Tory Humphrey ,84,TE , 6-2 ,255,26,4,Central Michigan,Tory,Humphrey ,6,2 ,74,,,,,
2010,Arizona,Kenny Iwebema ,91,DE , 6-4 ,280,24,2,Iowa,Kenny,Iwebema ,6,4 ,76,,,,,
2010,New Orleans,Malcolm Jenkins ,27,CB , 6-0 ,204,22,R ,Ohio State,Malcolm,Jenkins ,6,0 ,72,,,,,
2010,Arizona,Herman Johnson ,67,G , 6-7 ,382,24,R ,Louisiana State,Herman,Johnson ,6,7 ,79,,,,,
2010,Arizona,Rashad Johnson ,49,S , 5-11 ,203,24,R ,Alabama,Rashad,Johnson ,5,11 ,71,,,,,
2010,New Orleans,Reggie Jones ,,CB , 6-0 ,200,23,R ,Portland State,Reggie,Jones ,6,0 ,72,,,,,
2010,Arizona,Brandon Keith ,72,OT , 6-5 ,338,25,2,Northern Iowa,Brandon,Keith ,6,5 ,77,,,,,
2010,Arizona,Dan Kreider ,35,FB , 5-11 ,250,32,10,New Hampshire,Dan,Kreider ,5,11 ,71,,,,,
2010,Arizona,Mike Leach ,82,C , 6-2 ,238,33,10,William & Mary,Mike,Leach ,6,2 ,74,,,,,
2010,New Orleans,Nick Leckey ,60,C , 6-3 ,291,27,6,Kansas State,Nick,Leckey ,6,3 ,75,,,,,
2010,Arizona,Matt Leinart ,7,QB , 6-5 ,232,26,4,USC,Matt,Leinart ,6,5 ,77,,,,,
2010,New Orleans,Rodney Leisle ,95,DT , 6-3 ,315,28,4,UCLA,Rodney,Leisle ,6,3 ,75,,,,,
2010,Arizona,Deuce Lutui ,76,G , 6-4 ,338,26,4,USC,Deuce,Lutui ,6,4 ,76,,,,,
2010,New Orleans,Marcus Mailei ,36,RB , 6-0 ,255,23,R ,Weber State,Marcus,Mailei ,6,0 ,72,,,,,
2010,New Orleans,Deuce McAllister ,,RB , 6-1 ,232,31,9,Mississippi,Deuce,McAllister ,6,1 ,73,,,,,
2010,New Orleans,Bobby McCray ,93,DE , 6-6 ,260,28,6,Florida,Bobby,McCray ,6,6 ,78,,,,,
2010,Arizona,Bryant McFadden ,25,CB , 6-0 ,190,28,5,Florida State,Bryant,McFadden ,6,0 ,72,,,,,
2010,New Orleans,Robert Meachem ,17,WR , 6-2 ,210,25,3,Tennessee,Robert,Meachem ,6,2 ,74,,,,,
2010,New Orleans,Billy Miller ,83,TE , 6-3 ,252,32,10,USC,Billy,Miller ,6,3 ,75,,,,,
2010,New Orleans,Marvin Mitchell ,50,LB , 6-3 ,249,25,3,Tennessee,Marvin,Mitchell ,6,3 ,75,,,,,
2010,New Orleans,Lance Moore ,16,WR , 5-9 ,190,26,4,Toledo,Lance,Moore ,5,9 ,69,,,,,
2010,Arizona,Sean Morey ,87,WR , 5-11 ,193,33,8,Brown,Sean,Morey ,5,11 ,71,,,,,
2010,New Orleans,Thomas Morstead ,6,P , 6-4 ,225,23,R ,Southern Methodist,Thomas,Morstead ,6,4 ,76,,,,,
2010,New Orleans,Jamar Nesbit ,67,C , 6-4 ,328,33,11,South Carolina,Jamar,Nesbit ,6,4 ,76,,,,,
2010,New Orleans,Carl Nicks ,77,G , 6-5 ,343,24,2,Nebraska,Carl,Nicks ,6,5 ,77,,,,,
2010,Arizona,Chike Okeafor ,56,DE , 6-5 ,256,33,11,Purdue,Chike,Okeafor ,6,5 ,77,,,,,
2010,Arizona,Ben Patrick ,89,TE , 6-3 ,264,25,3,Delaware,Ben,Patrick ,6,3 ,75,,,,,
2010,New Orleans,Tracy Porter ,22,CB , 5-11 ,186,23,2,Indiana,Tracy,Porter ,5,11 ,71,,,,,
2010,New Orleans,DeMario Pressley ,90,DT , 6-3 ,301,24,2,North Carolina State,DeMario,Pressley ,6,3 ,75,,,,,
2010,New Orleans,Pierson Prioleau ,31,S , 5-11 ,188,32,11,Virginia Tech,Pierson,Prioleau ,5,11 ,71,,,,,
2010,Arizona,Neil Rackers ,1,PK , 6-1 ,206,33,10,Illinois,Neil,Rackers ,6,1 ,73,,,,,
2010,New Orleans,Chris Reis ,39,S , 6-1 ,215,26,3,Georgia Tech,Chris,Reis ,6,1 ,73,,,,,
2010,Arizona,Bryan Robinson ,97,DE , 6-4 ,304,35,13,Fresno State,Bryan,Robinson ,6,4 ,76,,,,,
2010,New Orleans,Courtney Roby ,15,WR , 6-0 ,189,27,5,Indiana,Courtney,Roby ,6,0 ,72,,,,,
2010,Arizona,Dominique Rodgers-Cromartie ,29,CB , 6-2 ,182,23,2,Tennessee State,Dominique,Rodgers-Cromartie ,6,2 ,74,,,,,
2010,Arizona,Antrel Rolle ,21,S , 6-0 ,208,27,5,Miami (Fla.),Antrel,Rolle ,6,0 ,72,,,,,
2010,Arizona,Lyle Sendlein ,63,C , 6-3 ,305,25,3,Texas,Lyle,Sendlein ,6,3 ,75,,,,,
2010,New Orleans,Scott Shanle ,58,LB , 6-2 ,245,30,7,Nebraska,Scott,Shanle ,6,2 ,74,,,,,
2010,New Orleans,Darren Sharper ,42,S , 6-2 ,210,34,13,William & Mary,Darren,Sharper ,6,2 ,74,,,,,
2010,New Orleans,Jeremy Shockey ,88,TE , 6-5 ,251,29,8,Miami (Fla.),Jeremy,Shockey ,6,5 ,77,,,,,
2010,New Orleans,Mark Simoneau ,53,LB , 6-0 ,245,32,10,Kansas State,Mark,Simoneau ,6,0 ,72,,,,,
2010,New Orleans,Will Smith ,91,DE , 6-3 ,282,28,6,Ohio State,Will,Smith ,6,3 ,75,,,,,
2010,Arizona,Stephen Spach ,83,TE , 6-4 ,260,27,4,Fresno State,Stephen,Spach ,6,4 ,76,,,,,
2010,New Orleans,Paul Spicer ,,DE , 6-4 ,295,34,10,Saginaw Valley State,Paul,Spicer ,6,4 ,76,,,,,
2010,Arizona,Brian St. Pierre ,2,QB , 6-3 ,224,30,7,Boston College,Brian,St. Pierre ,6,3 ,75,,,,,
2010,Arizona,LaRod Stephens-Howling ,36,RB , 5-7 ,180,22,R ,Pittsburgh,LaRod,Stephens-Howling ,5,7 ,67,,,,,
2010,New Orleans,Jonathan Stinchcomb ,78,OT , 6-5 ,315,30,7,Georgia,Jonathan,Stinchcomb ,6,5 ,77,,,,,
2010,New Orleans,Zach Strief ,64,OT , 6-7 ,320,26,4,Northwestern,Zach,Strief ,6,7 ,79,,,,,
2010,New Orleans,David Thomas ,85,TE , 6-3 ,248,26,4,Texas,David,Thomas ,6,3 ,75,,,,,
2010,New Orleans,Pierre Thomas ,23,RB , 5-11 ,215,25,3,Illinois,Pierre,Thomas ,5,11 ,71,,,,,
2010,Arizona,Greg Toler ,28,CB , 5-10 ,191,25,R ,St. Paul's College (VA),Greg,Toler ,5,10 ,70,,,,,
2010,New Orleans,Leigh Torrence ,24,CB , 5-11 ,179,28,4,Stanford,Leigh,Torrence ,5,11 ,71,,,,,
2010,Arizona,Jerheme Urban ,85,WR , 6-3 ,207,29,6,Trinity (Tex.),Jerheme,Urban ,6,3 ,75,,,,,
2010,New Orleans,Chip Vaughn ,37,S , 6-2 ,221,24,R ,Wake Forest,Chip,Vaughn ,6,2 ,74,,,,,
2010,New Orleans,Jonathan Vilma ,51,LB , 6-1 ,230,27,6,Miami (Fla.),Jonathan,Vilma ,6,1 ,73,,,,,
2010,Arizona,Reggie Walker ,55,LB , 6-0 ,238,23,R ,Kansas State,Reggie,Walker ,6,0 ,72,,,,,
2010,Arizona,Matt Ware ,22,CB , 6-2 ,215,27,6,UCLA,Matt,Ware ,6,2 ,74,,,,,
2010,Arizona,Kurt Warner ,13,QB , 6-2 ,214,38,12,Northern Iowa,Kurt,Warner ,6,2 ,74,,,,,
2010,New Orleans,Anthony Waters ,59,LB , 6-3 ,238,25,3,Clemson,Anthony,Waters ,6,3 ,75,,,,,
2010,Arizona,Gabe Watson ,98,DT , 6-4 ,329,26,4,Michigan,Gabe,Watson ,6,4 ,76,,,,,
2010,Arizona,Beanie Wells ,26,RB , 6-1 ,228,21,R ,Ohio State,Beanie,Wells ,6,1 ,73,,,,,
2010,Arizona,Reggie Wells ,74,G , 6-4 ,312,29,7,Clarion,Reggie,Wells ,6,4 ,76,,,,,
2010,Arizona,Adrian Wilson ,24,S , 6-3 ,226,30,9,North Carolina State,Adrian,Wilson ,6,3 ,75,,,,,
2010,New Orleans,D'Juan Woods ,84,WR , 6-1 ,210,25,1,Oklahoma State,D'Juan,Woods ,6,1 ,73,,,,,
2010,Arizona,Jason Wright ,31,RB , 5-10 ,212,27,5,Northwestern,Jason,Wright ,5,10 ,70,,,,,
2010,New Orleans,Usama Young ,28,CB , 6-0 ,200,24,3,Kent State,Usama,Young ,6,0 ,72,,,,,
