Year,Team,NAME ,No.,Pos,Ht,Wt,Age,Exp,College,FirstName,LastName,Ft,In,Inches,,,,,
2022,New Orleans,Deonte Harty,11,WR/RS,5-6,170,24,4,Assumption College,Deonte,Harty,5,6,66,,,,,
2022,New Orleans,Jerald Hawkins,63,OT,6-6,305,28,6,LSU,Jerald,Hawkins,6,6,78,,,,,
2022,Arizona,Marquis Hayes,78,OL,6-5,324,23,R,Oklahoma,Marquis,Hayes,6,5,77,,,,,
2022,Arizona,Will Hernandez,76,OL,6-2,335,26,5,Texas-El Paso,Will,Hernandez,6,2,74,,,,,
2022,New Orleans,Chris Herndon,86,TE,6-4,253,26,5,Miami,Chris,Herndon,6,4,76,,,,,
2022,New Orleans,Taysom Hill,7,QB,6-2,221,31,6,Brigham Young,Taysom,Hill,6,2,74,,,,,
2022,New Orleans,J.P. Holtz,88,TE,6-3,240,28,4,Pittsburgh,J.P.,Holtz,6,3,75,,,,,
2022,Arizona,DeAndre Hopkins,10,WR,6-1,212,30,9,Clemson,DeAndre,Hopkins,6,1,73,,,,,
2022,Arizona,Rodney Hudson,61,OL,6-2,315,33,12,Florida State,Rodney,Hudson,6,2,74,,,,,
2022,New Orleans,Albert Huggins,95,DT,6-3,305,25,2,Clemson,Albert,Huggins,6,3,75,,,,,
2022,Arizona,D.J. Humphries,74,OL,6-5,307,28,8,Florida,D.J.,Humphries,6,5,77,,,,,
2022,New Orleans,James Hurst,74,OL,6-5,310,30,9,North Carolina,James,Hurst,6,5,77,,,,,
2022,Arizona,Keaontay Ingram,30,RB,6-0,215,22,R,USC,Keaontay,Ingram,6,0,72,,,,,
2022,New Orleans,Mark Ingram II,5,RB,5-9,215,32,12,Alabama,Mark,Ingram II,5,9,69,,,,,
2022,Arizona,Andy Isabella,17,WR,5-9,188,25,4,Massachusetts,Andy,Isabella,5,9,69,,,,,
2022,Arizona,Danny Isidora,63,OL,6-3,306,28,4,Miami,Danny,Isidora,6,3,75,,,,,
2022,New Orleans,D'Marco Jackson,52,LB,6-1,230,24,R,Appalachian State,D'Marco,Jackson,6,1,73,,,,,
2022,New Orleans,Jordan Jackson,59,DT,6-5,285,24,R,Air Force,Jordan,Jackson,6,5,77,,,,,
2022,Arizona,Josh Jackson,36,CB,6-0,196,26,5,Iowa,Josh,Jackson,6,0,72,,,,,
2022,New Orleans,Jaleel Johnson,91,DT,6-3,316,28,6,Iowa,Jaleel,Johnson,6,3,75,,,,,
2022,New Orleans,Juwan Johnson,83,TE,6-4,231,25,3,Oregon,Juwan,Johnson,6,4,76,,,,,
2022,Arizona,Josh Jones,79,OL,6-5,319,25,3,Houston,Josh,Jones,6,5,77,,,,,
2022,Arizona,Manny Jones,75,DT,6-4,290,23,R,Colorado State,Manny,Jones,6,4,76,,,,,
2022,New Orleans,Tony Jones Jr.,34,RB,5-11,224,24,2,Notre Dame,Tony,Jones Jr.,5,11,71,,,,,
2022,New Orleans,Cameron Jordan,94,DE,6-4,287,33,12,California,Cameron,Jordan,6,4,76,,,,,
2022,New Orleans,Alvin Kamara,41,RB,5-10,215,27,6,Tennessee,Alvin,Kamara,5,10,70,,,,,
2022,Arizona,Kingsley Keke,96,DT,6-3,288,25,4,Texas A&M,Kingsley,Keke,6,3,75,,,,,
2022,Arizona,Devon Kennard,42,OLB,6-3,256,31,9,USC,Devon,Kennard,6,3,75,,,,,
2022,New Orleans,Lewis Kidd,66,OL,6-6,311,24,R,Montana State,Lewis,Kidd,6,6,78,,,,,
2022,Arizona,Jontre Kirklin,31,WR,6-0,184,23,R,Louisiana State,Jontre,Kirklin,6,0,72,,,,,
2022,New Orleans,Tanoh Kpassagnon,90,DE,6-7,289,28,6,Villanova,Tanoh,Kpassagnon,6,7,79,,,,,
2022,New Orleans,Lucas Krull,44,TE,6-6,260,24,R,Pittsburgh,Lucas,Krull,6,6,78,,,,,
2022,New Orleans,Forrest Lamp,77,OL,6-4,310,28,5,Western Kentucky,Forrest,Lamp,6,4,76,,,,,
2022,New Orleans,Jarvis Landry,80,WR,5-11,202,29,9,LSU,Jarvis,Landry,5,11,71,,,,,
2022,New Orleans,Marshon Lattimore,23,CB,6-0,192,26,6,Ohio State,Marshon,Lattimore,6,0,72,,,,,
